            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sensor|
  202.65.132.26| 131.247.67.127|   53|56728| 17|         1|        73|        |2016/04/06T06:58:57.186|    0.000|2016/04/06T06:58:57.186|Health|
  202.65.132.26| 131.247.67.126|   53|58934| 17|         1|        73|        |2016/04/06T06:58:57.183|    0.000|2016/04/06T06:58:57.183|Health|
  113.163.141.2|  131.247.67.45|14895|   25|  6|         6|       368|        |2016/04/06T06:59:07.808|    1.408|2016/04/06T06:59:09.216|Health|
222.252.250.137|  131.247.67.45| 2727|   25|  6|         6|       369|        |2016/04/06T06:59:28.799|    1.984|2016/04/06T06:59:30.783|Health|
 213.131.37.210|  131.247.67.45|19830|   25|  6|         6|       361|        |2016/04/06T06:59:47.865|    1.088|2016/04/06T06:59:48.953|Health|
  163.172.7.229|  10.119.120.33|51471|   80|  6|        15|       966|        |2016/04/06T06:00:32.554|    5.824|2016/04/06T06:00:38.378|Health|
  163.172.7.229|  10.119.120.33|38454|   80|  6|         9|       827|        |2016/04/06T06:01:28.550|    0.512|2016/04/06T06:01:29.062|Health|
  163.172.7.229|  10.119.120.33|38686|   80|  6|        11|       760|        |2016/04/06T06:01:28.937|    0.384|2016/04/06T06:01:29.321|Health|
  163.172.7.229|  10.119.120.33|38686|   80|  6|         2|       104|        |2016/04/06T06:01:39.943|    0.064|2016/04/06T06:01:40.007|Health|
  163.172.7.229|  10.119.120.33|44985|   80|  6|         6|       495|        |2016/04/06T06:01:55.881|    0.704|2016/04/06T06:01:56.585|Health|
  163.172.7.229|  10.119.120.33|45052|   80|  6|         6|       495|        |2016/04/06T06:01:56.134|    0.832|2016/04/06T06:01:56.966|Health|
  163.172.7.229|  10.119.120.33|38454|   80|  6|         1|        52|        |2016/04/06T06:01:56.517|    0.000|2016/04/06T06:01:56.517|Health|
  163.172.7.229|  10.119.120.33|33062|   80|  6|         9|       681|        |2016/04/06T06:08:03.421|    1.152|2016/04/06T06:08:04.573|Health|
  163.172.7.229|  10.119.120.33|33005|   80|  6|         8|       593|        |2016/04/06T06:08:03.167|    3.968|2016/04/06T06:08:07.135|Health|
     74.82.47.3|    172.27.1.65|51186|  443|  6|        14|      1236|        |2016/04/06T06:18:51.089|    5.568|2016/04/06T06:18:56.657|Health|
     5.9.17.118|  10.119.120.33|56029|   80|  6|        32|      1912|        |2016/04/06T06:21:37.804|    1.984|2016/04/06T06:21:39.788|Health|
     74.82.47.3|    172.27.1.65|42221|  443|  6|        15|      1324|        |2016/04/06T06:24:43.019|    3.136|2016/04/06T06:24:46.155|Health|
     74.82.47.3|    172.27.1.65|51570|  443|  6|         9|       614|        |2016/04/06T06:27:11.434|    0.448|2016/04/06T06:27:11.882|Health|
  82.80.230.228|  10.119.120.40|55393|  443|  6|        88|      5294|        |2016/04/06T06:33:50.590|    4.800|2016/04/06T06:33:55.390|Health|
  82.80.230.228|  10.119.120.40|53967|  443|  6|        42|      2681|        |2016/04/06T06:34:02.302|    2.688|2016/04/06T06:34:04.990|Health|
  82.80.230.228|  10.119.120.40|61108|  443|  6|        82|      4765|        |2016/04/06T06:34:03.964|    6.080|2016/04/06T06:34:10.044|Health|
  82.80.230.228|  10.119.120.40|60828|  443|  6|        63|      3856|        |2016/04/06T06:34:20.093|    4.672|2016/04/06T06:34:24.765|Health|
  163.172.7.229|  10.119.120.33|45910|   80|  6|        15|       966|        |2016/04/06T06:38:48.632|    1.024|2016/04/06T06:38:49.656|Health|
  163.172.7.229|  10.119.120.33|45816|   80|  6|        13|       922|        |2016/04/06T06:38:48.375|    0.448|2016/04/06T06:38:48.823|Health|
  163.172.7.229|  10.119.120.33|45816|   80|  6|         1|        52|        |2016/04/06T06:39:02.646|    0.000|2016/04/06T06:39:02.646|Health|
  163.172.7.229|  10.119.120.33|59971|   80|  6|        13|       864|        |2016/04/06T06:39:42.772|    1.024|2016/04/06T06:39:43.796|Health|
  163.172.7.229|  10.119.120.33|59862|   80|  6|        13|      1035|        |2016/04/06T06:39:42.386|    1.792|2016/04/06T06:39:44.178|Health|
  163.172.7.229|  10.119.120.33|37580|   80|  6|         6|       495|        |2016/04/06T06:40:01.844|    5.824|2016/04/06T06:40:07.668|Health|
